decile,count,mean_predicted_default,observed_default_rate,default_count,mean_expected_profit,mean_realized_profit,approval_rate
1,18787,0.054271222302410285,0.05562356948954064,1045,675.9004400873201,365.02321781253846,0.999787086815351
2,18786,0.10154780102197736,0.10390716491003939,1952,571.8418236433314,199.67773319544418,0.9851485148514851
3,18786,0.12907441597607278,0.14122218673480252,2653,695.310992246633,60.93819074643061,0.8045352922389013
4,18787,0.16272685639062176,0.18012455421301965,3384,846.0559139572117,-134.11319602260744,0.5296747751104487
5,18786,0.19268071308276613,0.2114340466304695,3972,1490.4111332145148,-279.97167860028884,0.3258809751942936
6,18786,0.23129729377191194,0.239061002874481,4491,1599.939503981303,-495.00474187926693,0.2802086660278931
7,18787,0.26769235549899995,0.2865279182413371,5383,1500.5462956141864,-877.7451562972248,0.2682173843615266
8,18786,0.3088062364953631,0.32119663579261154,6034,1599.1572508921577,-1236.8363301897118,0.2175023954008304
9,18786,0.3609671714895085,0.3801234962205898,7141,1859.2337174797499,-1884.3411944757024,0.18476525071862024
10,18787,0.4599197441314125,0.4796934050141055,9012,1242.0392298367276,-3546.4490387336914,0.15313780805876404
