feature,importance_drop_roc_auc,importance_drop_expected_profit,importance_drop_realized_profit
loan_amnt,0.012069201909737703,-45952154.03043237,24285017.463686895
int_rate,0.007901157350032939,1504045.8740637898,-16462376.111674318
annual_inc,0.005301202139159966,6320270.6943048835,1098662.8558107913
dti,0.008055529028329844,-1805913.996731326,7635354.705337789
fico_range_low,0.0014015760621461926,391405.2077654451,1429466.2471000403
fico_range_high,0.001171548628367436,417851.6919094175,1545791.1847897917
delinq_2yrs,0.0007089816529978199,-244042.30509205163,326025.8274176493
inq_last_6mths,0.00045829251511630975,216376.58748446405,1024688.5880341791
open_acc,-0.0002236758015241591,-64490.22797174752,341790.84715746343
pub_rec,1.352278986122002e-06,8968.541900783777,-30501.555781424046
revol_bal,0.0006350257832921091,1868499.56300354,257932.8226683177
revol_util,0.0003254848112962394,-305688.4419914335,557045.2391127832
total_acc,0.0038953614063127473,-409893.2667476982,1272445.9379550628
mort_acc,0.003391017828637377,3700285.978859812,2175328.7393581383
acc_open_past_24mths,0.004914753436756514,-4599952.067417979,8628763.032688085
pub_rec_bankruptcies,-3.8477523288005244e-05,183836.6284929216,-126661.89797797799
grade,0.1412124622956511,-158404834.4322828,62003050.35397461
sub_grade,0.01822067247854553,-31603650.632478893,22038554.618327912
emp_length,0.00029156626682780296,-721183.6049347669,733816.6036564969
home_ownership,0.0068990267082750245,3681240.7902712673,4199903.260828309
verification_status,0.0005952330414650264,-17168.07234083116,484424.7824184336
purpose,0.0008061880971363955,-895442.8830149025,724853.6698762923
addr_state,0.004924485494544828,290548.2380017191,3551676.553962324
application_type,0.0004984676710296787,337274.3712412268,-397035.82340559736
initial_list_status,0.0004714030560667437,-2559997.057451725,1766456.5171094313
